Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.176,34.40369917136064,0.4000000106960268,0.4,-4.0812486726306177e-10,1.4314197090330307,0.9999999917411072,0.9919935381791781,0.9999999957046408,0.995984172926853
0.178,34.403699156624235,0.4000000104263307,0.4,-4.1055419445072784e-10,1.4314197090327907,0.9999999917492893,0.9919935381858149,0.9999999957086156,0.9959841729320901
0.18,34.4036991418015,0.4000000101557056,0.4,-4.1292017496062906e-10,1.431419709032486,0.9999999917574983,0.9919935381924738,0.9999999957126035,0.9959841729373444
0.182,34.40369912689474,0.4000000098841985,0.4,-4.152226032307356e-10,1.4314197090321172,0.9999999917657327,0.9919935381991536,0.9999999957166037,0.9959841729426152
0.184,34.403699111906235,0.4000000096118565,0.4,-4.1746128460886104e-10,1.4314197090316827,0.9999999917739905,0.9919935382058528,0.9999999957206156,0.9959841729479014
0.186,34.403699096838295,0.40000000933872626,0.4,-4.196360354348052e-10,1.431419709031182,0.9999999917822704,0.9919935382125702,0.9999999957246383,0.9959841729532021
0.188,34.40369908169321,0.4000000090648548,0.4,-4.217466830295457e-10,1.4314197090306162,0.9999999917905711,0.9919935382193049,0.9999999957286712,0.9959841729585159
0.19,34.40369906647331,0.40000000879028846,0.4,-4.237930655979639e-10,1.4314197090299852,0.9999999917988903,0.9919935382260552,0.9999999957327134,0.9959841729638422
0.192,34.40369905118089,0.40000000851507395,0.4,-4.257750323088258e-10,1.4314197090292886,0.999999991807227,0.9919935382328202,0.9999999957367643,0.9959841729691802
0.194,34.40369903581828,0.4000000082392578,0.4,-4.276924431521133e-10,1.4314197090285266,0.9999999918155796,0.9919935382395985,0.9999999957408231,0.9959841729745282
0.196,34.403699020387805,0.40000000796288643,0.4,-4.2954516903197506e-10,1.431419709027698,0.999999991823946,0.9919935382463888,0.9999999957448888,0.995984172979886
0.198,34.4036990048918,0.40000000768600585,0.4,-4.3133309166296733e-10,1.4314197090268042,0.9999999918323254,0.9919935382531899,0.9999999957489611,0.9959841729852522
0.2,34.4036989893326,0.4000000074086626,0.4,-4.330561035484375e-10,1.431419709025844,0.9999999918407156,0.9919935382600007,0.999999995753039,0.9959841729906259
0.202,34.40369897371254,0.400000007130903,0.4,-4.347141080151104e-10,1.431419709024818,0.9999999918491155,0.9919935382668199,0.9999999957571218,0.9959841729960061
0.204,34.403698958033964,0.40000000685277204,0.4,-4.3630701923902814e-10,1.431419709023726,0.9999999918575232,0.9919935382736462,0.9999999957612088,0.9959841730013919
0.206,34.403698942299215,0.4000000065743167,0.4,-4.3783476198615235e-10,1.4314197090225687,0.9999999918659372,0.9919935382804784,0.9999999957652991,0.9959841730067821
0.208,34.40369892651064,0.40000000629558213,0.4,-4.392972718242056e-10,1.431419709021345,0.9999999918743563,0.9919935382873155,0.9999999957693922,0.9959841730121762
0.21,34.4036989106706,0.40000000601661384,0.4,-4.4069449498000257e-10,1.431419709020056,0.9999999918827784,0.9919935382941558,0.9999999957734871,0.9959841730175728
0.212,34.40369889478142,0.40000000573745775,0.4,-4.4202638824866086e-10,1.431419709018701,0.9999999918912028,0.9919935383009988,0.9999999957775834,0.9959841730229713
0.214,34.403698878845475,0.4000000054581582,0.4,-4.4329291907790533e-10,1.4314197090172815,0.9999999918996273,0.9919935383078426,0.99999999578168,0.9959841730283703
0.216,34.40369886286512,0.4000000051787616,0.4,-4.4449406546430883e-10,1.4314197090157954,0.9999999919080504,0.9919935383146864,0.9999999957857766,0.9959841730337693
0.218,34.403698846842694,0.4000000048993119,0.4,-4.4562981596626224e-10,1.4314197090142449,0.9999999919164709,0.9919935383215289,0.9999999957898721,0.9959841730391672
0.22,34.403698830780556,0.40000000461985435,0.4,-4.4670016963696315e-10,1.431419709012629,0.9999999919248872,0.991993538328369,0.9999999957939659,0.9959841730445629
0.222,34.403698814681064,0.4000000043404336,0.4,-4.477051359811831e-10,1.4314197090109484,0.9999999919332977,0.9919935383352054,0.9999999957980575,0.9959841730499557
0.224,34.403698798546564,0.4000000040610943,0.4,-4.4864473487096315e-10,1.4314197090092022,0.9999999919417011,0.9919935383420371,0.999999995802146,0.9959841730553446
0.226,34.40369878237942,0.4000000037818808,0.4,-4.495189966147865e-10,1.431419709007392,0.9999999919500958,0.9919935383488625,0.9999999958062306,0.9959841730607284
0.228,34.40369876618199,0.40000000350283665,0.4,-4.503279618127483e-10,1.4314197090055183,0.9999999919584802,0.991993538355681,0.9999999958103107,0.9959841730661066
0.23,34.4036987499566,0.40000000322400625,0.4,-4.51071681378172e-10,1.43141970900358,0.9999999919668531,0.9919935383624912,0.9999999958143857,0.9959841730714782
0.232,34.40369873370561,0.4000000029454338,0.4,-4.517502164381734e-10,1.4314197090015783,0.9999999919752132,0.9919935383692917,0.9999999958184549,0.9959841730768421
