Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.206,11.897601424000985,0.3540734340055391,0.4069680920558343,0.0033434040773016095,0.4069680920558343,0.9216517069211078,0.8914758364662296,0.9186450932538118,0.9030283738257955
1.208,12.018177666152825,0.3560907668131104,0.4068097710376005,0.0033551911565889866,0.4068097710376005,0.9216697947567822,0.8915737923295285,0.9187679544483814,0.9031468734670771
1.21,12.139169073648526,0.35810969094652584,0.4066516621782541,0.0033664687730539404,0.4066516621782541,0.9216874162616085,0.8916711033790626,0.9188902794676901,0.9032647663901607
1.212,12.260557301347838,0.36012991006628364,0.4064937853197491,0.003377236690185853,0.4064937853197491,0.9217045567170754,0.8917677474857071,0.9190120451169321,0.9033820287469472
1.214,12.382323996924288,0.3621511281585122,0.40633616022758634,0.003387494745244604,0.40633616022758634,0.9217212018870349,0.8918637030851359,0.9191332286791131,0.9034986372260092
1.216,12.504450803519052,0.3641730495849639,0.4061788065881309,0.003397242849153678,0.4061788065881309,0.9217373380218422,0.8919589491812113,0.9192538079180733,0.9036145690558798
1.218,12.626919362390726,0.3661953791330618,0.40602174400594476,0.0034064809863810137,0.40602174400594476,0.9217529518622068,0.8920534653490547,0.9193737610812495,0.9037298020080429
1.22,12.749711315560596,0.36821782206596737,0.40586499200113707,0.0034152092148075843,0.40586499200113707,0.92176803064275,0.8921472317378026,0.9194930669021758,0.9038443143996305
1.222,12.872808308452962,0.3702400841726575,0.40570857000673033,0.003423427665583716,0.40570857000673033,0.9217825620952725,0.8922402290730467,0.9196117046027258,0.9039580850958229
1.224,12.996191992530065,0.3722618718179793,0.4055524973660444,0.0034311365429731473,0.4055524973660444,0.9217965344517309,0.8923324386589627,0.9197296538950966,0.904071093511958
1.226,13.119844027921177,0.3742828919926653,0.40539679333009826,0.003438336124184845,0.40539679333009826,0.9218099364469232,0.8924238423801244,0.9198468949835358,0.9041833196153481
1.228,13.243746086045416,0.37630285236328354,0.4052414770550298,0.003445026759192589,0.4052414770550298,0.9218227573208828,0.892514422703011,0.9199634085658149,0.9042947439268083
1.23,13.367879852227857,0.3783214613221002,0.4050865675995341,0.003451208870542353,0.4050865675995341,0.9218349868209843,0.8926041626772041,0.9200791758344493,0.9044053475218965
1.232,13.492227028308468,0.3803384280368354,0.4049320839223214,0.0034568829531475076,0.4049320839223214,0.9218466152037585,0.892693045936278,0.920194178477665,0.9045151120318673
1.234,13.616769335243486,0.3823534625002853,0.4047780448795937,0.0034620495740718795,0.4047780448795937,0.92185763323642,0.8927810566983871,0.9203083986801197,0.9046240196443439
1.236,13.741488515698727,0.38436627557979147,0.40462446922254136,0.0034667093723007012,0.40462446922254136,0.9218680321981049,0.8928681797665516,0.9204218191233724,0.9047320531037072
1.238,13.866366336634469,0.38637657906653544,0.4044713755948607,0.003470863058499505,0.4044713755948607,0.9218778038808256,0.8929544005286417,0.9205344229861115,0.9048391957112073
1.24,13.99138459188141,0.3883840857246344,0.4043187825302914,0.0034745114147609973,0.4043187825302914,0.9218869405901364,0.8930397049570657,0.9206461939441377,0.904945431324797
1.242,14.11652510470732,0.39038850934001956,0.4041667084501754,0.0034776552943399787,0.4041667084501754,0.9218954351455184,0.8931240796081643,0.9207571161701064,0.9050507443586935
1.244,14.241769730373921,0.39238956476907405,0.4040151716610372,0.0034802956213763627,0.4040151716610372,0.9219032808804787,0.8932075116213116,0.9208671743330334,0.9051551197826668
1.246,14.367100358683587,0.3943869679870083,0.403864190352186,0.0034824333906063568,0.403864190352186,0.9219104716423703,0.8932899887177279,0.9209763535975645,0.9052585431210618
1.248,14.492498916515444,0.3963804361359555,0.40371378259334034,0.003484069667061881,0.40371378259334034,0.9219170017919325,0.8933714991990069,0.9210846396230098,0.9053610004515535
1.25,14.617947370350418,0.39836968757276403,0.403563966332275,0.0034852055857582894,0.403563966332275,0.9219228662025544,0.8934520319453594,0.9211920185621525,0.9054624784036415
1.252,14.743427728784852,0.40035444191646585,0.40341475939249094,0.0034858423513704833,0.40341475939249094,0.92192806025926,0.8935315764135767,0.9212984770598259,0.9055629641568832
1.254,14.868922045032237,0.4023344200954043,0.4032661794709092,0.003485981237897488,0.4032661794709092,0.9219325798574233,0.8936101226347196,0.9214040022512685,0.9056624454388733
1.256,14.994412419412685,0.40430934439399924,0.4031182441355881,0.0034856235883155944,0.4031182441355881,0.921936421401209,0.8936876612115316,0.9215085817602562,0.905760910522969
1.258,15.119881001829683,0.4062789384991312,0.40297097082346456,0.003484770814220146,0.40297097082346456,0.9219395818017471,0.8937641833155862,0.9216122036970175,0.905858348225767
1.26,15.245309994233773,0.40824292754612485,0.40282437683812,0.0034834243954560778,0.40282437683812,0.9219420584750372,0.893839680684164,0.9217148566559322,0.9059547479043348
1.262,15.37068165307271,0.41020103816431563,0.4026784793475713,0.003481585879737303,0.4026784793475713,0.9219438493395921,0.8939141456168718,0.9218165297130191,0.9060500994531993
1.264,15.49597829172774,0.41215299852217974,0.4025332953820867,0.003479256882255059,0.4025332953820867,0.9219449528138177,0.8939875709720013,0.9219172124232143,0.9061443933010979
1.266,15.621182282935552,0.4140985383720088,0.4023888418320274,0.003476439085275315,0.4023888418320274,0.9219453678131344,0.8940599501626343,0.9220168948174455,0.9062376204074951
1.268,15.746276061195578,0.41603738909411603,0.4022451354457147,0.0034731342377253643,0.4022451354457147,0.9219450937468435,0.8941312771524954,0.9221155673995021,0.906329772258867
1.27,15.871242125162192,0.4179692837405531,0.40210219282732423,0.003469344154769714,0.40210219282732423,0.921944130514739,0.8942015464515626,0.9222132211427096,0.9064208408647614
1.272,15.99606304002145,0.41989395707832344,0.40196003043480544,0.0034650707173753954,0.40196003043480544,0.9219424785034711,0.894270753111432,0.9223098474864083,0.9065108187536335
1.274,16.120721439852005,0.421811145632076,0.4018186645778292,0.003460315871866823,0.4018186645778292,0.921940138582662,0.8943388927204472,0.9224054383322414,0.9065996989684644
