Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.77,6.829599760436467,0.3717855770847141,0.4,-0.0023298770046175873,1.4642610673728254,1.0351283755911975,0.964349917187944,0.9686154307033568,0.9647544957803872
1.772,6.7458490054722935,0.3701945154913963,0.4,-0.0023228808686791575,1.4626409587686788,1.034960908104698,0.9641848432976745,0.9684642750955748,0.9645908276577552
1.774,6.662356777640306,0.368612865074984,0.4,-0.002315514758422209,1.4610652302335505,1.03479272535914,0.9640194509606748,0.9683130518604443,0.964426983685504
1.776,6.579136355477073,0.36704086433485655,0.4,-0.0023077809352594477,1.4595337622702487,1.034623846688025,0.963853764523742,0.9681617845651919,0.9642629888012255
1.778,6.496200935113154,0.3654787489057171,0.4,-0.0022996817157771555,1.4580464293278705,1.0344542916536987,0.9636878084874715,0.9680104968564829,0.9640988680570852
1.78,6.41356362829904,0.36392675152875315,0.4,-0.002291219471057272,1.4566030998385218,1.0342840800400117,0.9635216074974354,0.9678592124525979,0.9639346466112421
1.782,6.331237460455607,0.3623851020238247,0.4,-0.0022823966259929267,1.4552036362569574,1.0341132318448443,0.9633551863352545,0.9677079551355398,0.9637703497191793
1.784,6.2492353687493285,0.3608540272626833,0.4,-0.002273215658597659,1.4538478951031033,1.0339417672724989,0.9631885699095707,0.9675567487430725,0.9636060027249516
1.786,6.167570200192467,0.3593337511432183,0.4,-0.0022636790993085672,1.4525357270074102,1.0337697067259695,0.9630217832469252,0.9674056171606996,0.9634416310523524
1.788,6.0862547097684585,0.3578244945647298,0.4,-0.00225378953028363,1.4512669767590074,1.0335970707990916,0.9628548514825486,0.9672545843135846,0.96327726019601
1.79,6.005301558582691,0.3563264754042208,0.4,-0.0022435495846934365,1.4500414833565918,1.03342388026858,0.9626877998510721,0.9671036741584228,0.9631129157124171
1.792,5.924723312038882,0.3548399084937093,0.4,-0.0022329619460075673,1.4488590800620236,1.0332501560859613,0.9625206536771606,0.9669529106752649,0.962948623210898
1.794,5.844532438041234,0.3533650055985523,0.4,-0.00222202934727586,1.4477195944565675,1.0330759193694048,0.9623534383660808,0.9668023178593026,0.9627844083445254
1.796,5.764741305222558,0.3519019753967788,0.4,-0.002210754570404799,1.446622848499726,1.0329011913954593,0.9621861793942045,0.966651919712616,0.9626202968009822
1.798,5.685362181198531,0.3504510234594234,0.4,-0.0021991404454292664,1.4455686585906216,1.0327259935907036,0.9620189022994584,0.9665017402358936,0.9624563142933871
1.8,5.606407230848245,0.3490123522318562,0.4,-0.002187189849779881,1.4445568356318628,1.0325503475233129,0.9618516326717228,0.966351803420125,0.9622924865510784
1.802,5.527888514621213,0.34758616101610196,0.4,-0.0021749057075461657,1.4435871850958486,1.03237427489455,0.9616843961431888,0.9662021332382763,0.9621288393103687
1.804,5.449817986870971,0.34617264595413905,0.4,-0.002162290988735769,1.442659507093445,1.0321977975301881,0.9615172183786779,0.9660527536369488,0.961965398305276
1.806,5.372207494215417,0.3447720000121723,0.4,-0.002149348708529969,1.4417735964449834,1.0320209373718698,0.9613501250659316,0.9659036885280293,0.9618021892582324
1.808,5.295068773924011,0.34338441296586897,0.4,-0.0021360819265356925,1.4409292427535145,1.0318437164684056,0.9611831419058783,0.9657549617803375,0.9616392378707819
1.81,5.218413452331964,0.3420100713865529,0.4,-0.0021224937460342617,1.4401262304802642,1.0316661569670273,0.9610162946028801,0.9656065972112714,0.9614765698142707
1.812,5.142253043281536,0.34064915862833967,0.4,-0.002108587313227107,1.4393643390222246,1.0314882811045913,0.96084960885497,0.9654586185784616,0.9613142107205345
