Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.416,35.12250905243785,0.40295001976752565,0.3999881515139396,-8.610744504167626e-05,0.3999881515139396,0.9971100579533824,0.9902503213025613,0.9988438136443453,0.9945353767967999
7.418,35.119396961905856,0.40289042383747886,0.3999919008610985,-8.678399617057931e-05,0.3999919008610985,0.9971142458484814,0.9902532231315839,0.9988456520464326,0.9945377321052298
7.42,35.11626078347181,0.40283055555856684,0.3999956616897895,-8.744565100193835e-05,0.3999956616897895,0.9971184363666362,0.9902561281387029,0.9988474920609854,0.9945400897329213
7.422,35.113101054555024,0.4027704256856489,0.39999943333982635,-8.809234594748693e-05,0.39999943333982635,0.9971226291143064,0.9902590360133278,0.9988493334971913,0.9945424494317026
7.424,35.109918314815864,0.40271004498347,0.4000032151513075,-8.8724020093057e-05,0.4000032151513075,0.9971268236987612,0.9902619464454366,0.9988511761646799,0.9945448109539154
7.426,35.10671310605946,0.4026494242248516,0.40000700646472476,-8.934061520034746e-05,0.40000700646472476,0.9971310197281515,0.9902648591256337,0.9988530198735607,0.9945471740524626
7.428,35.10348597213931,0.4025885741888801,0.4000108066210713,-8.994207570824721e-05,0.4000108066210713,0.9971352168115796,0.9902677737452034,0.9988548644344556,0.9945495384808514
7.43,35.10023745886093,0.402527505659109,0.40001461496194857,-9.052834873370844e-05,0.40001461496194857,0.9971394145591687,0.9902706899961671,0.9988567096585351,0.9945519039932388
7.432,35.09696811388541,0.40246622942175625,0.40001843082967364,-9.109938407217569e-05,0.40001843082967364,0.9971436125821316,0.9902736075713375,0.9988585553575515,0.9945542703444756
7.434,35.09367848663297,0.40240475626391337,0.40002225356738563,-9.165513419756872e-05,0.40002225356738563,0.997147810492839,0.990276526164372,0.9988604013438726,0.9945566372901498
7.436,35.09036912818659,0.40234309697175796,0.4000260825191516,-9.219555426182488e-05,0.4000260825191516,0.9971520079048888,0.9902794454698282,0.9988622474305162,0.9945590045866299
7.438,35.087040591195574,0.4022812623287676,0.4000299170300723,-9.272060209399682e-05,0.4000299170300723,0.9971562044331703,0.9902823651832162,0.9988640934311822,0.9945613719911083
7.44,35.083693429779224,0.40221926311394546,0.4000337564463871,-9.323023819891127e-05,0.4000337564463871,0.9971603996939342,0.9902852850010511,0.9988659391602854,0.9945637392616424
7.442,35.08032819943051,0.40215711010004834,0.4000376001155786,-9.37244257553877e-05,0.4000376001155786,0.9971645933048556,0.9902882046209064,0.9988677844329885,0.994566106157198
7.444,35.07694545691988,0.4020948140518212,0.4000414473864767,-9.420313061402177e-05,0.4000414473864767,0.9971687848851017,0.9902911237414646,0.9988696290652331,0.9945684724376896
7.446,35.0735457601991,0.4020323857242392,0.4000452976093618,-9.466632129453062e-05,0.4000452976093618,0.9971729740553945,0.9902940420625691,0.9988714728737721,0.9945708378640221
7.448,35.07012966830524,0.401969835860756,0.4000491501360681,-9.511396898266615e-05,0.4000491501360681,0.9971771604380759,0.9902969592852746,0.9988733156762001,0.9945732021981304
7.45,35.06669774126474,0.4019071751915598,0.4000530043200859,-9.55460475266945e-05,0.4000530043200859,0.9971813436571711,0.9902998751118972,0.9988751572909847,0.9945755652030206
7.452,35.06325053999763,0.4018444144318349,0.4000568595166627,-9.596253343344724e-05,0.4000568595166627,0.9971855233384506,0.9903027892460636,0.9988769975374966,0.9945779266428083
7.454,35.0597886262219,0.4017815642800335,0.4000607150829052,-9.636340586394248e-05,0.4000607150829052,0.9971896991094928,0.9903057013927608,0.9988788362360399,0.9945802862827585
7.456,35.05631256235806,0.4017186354161534,0.40006457037787946,-9.674864662858054e-05,0.40006457037787946,0.9971938705997447,0.9903086112583831,0.9988806732078804,0.9945826438893236
7.458,35.052822911433815,0.4016556385000246,0.40006842476271054,-9.711824018191444e-05,0.40006842476271054,0.9971980374405829,0.9903115185507816,0.9988825082752769,0.9945849992301817
7.46,35.04932023698901,0.4015925841696039,0.4000722776006821,-9.747217361699989e-05,0.4000722776006821,0.9972021992653729,0.9903144229793094,0.9988843412615072,0.9945873520742737
7.462,35.04580510298073,0.4015294830392793,0.40007612825733463,-9.781043665932362e-05,0.40007612825733463,0.9972063557095289,0.9903173242548697,0.9988861719908987,0.9945897021918407
7.464,35.04227807368865,0.4014663456981818,0.4000799761005638,-9.813302166031482e-05,0.4000799761005638,0.9972105064105709,0.990320222089961,0.9988880002888545,0.9945920493544601
7.466,35.03873971362065,0.40140318270850733,0.40008382050071706,-9.843992359044068e-05,0.40008382050071706,0.9972146510081841,0.9903231161987219,0.9988898259818817,0.9945943933350814
