Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
4.738,4.002466549959825,0.6926529417619026,0.0038128594675586286,0.9585730985660833,0.9241155121950266,0.9482859254151689,0.935288611482097
4.74,4.138848463749819,0.6957109722652008,0.003763828576447947,0.9584579093639088,0.9240807391637876,0.9483161943183479,0.9352936143559719
4.742,4.273456132142228,0.6987281322221116,0.003714291414083966,0.958342958423643,0.9240448624140528,0.9483447833141618,0.9352970976165088
4.744,4.406271452369249,0.701704037770229,0.0036642548243134925,0.9582283105568508,0.924007948186011,0.9483717396352063,0.9352991184186862
4.746,4.537276569185966,0.7046383122830112,0.003613725714357296,0.9581140303944674,0.9239700626515497,0.9483971105400955,0.9352997339046409
4.748,4.666453877129893,0.7075305863616063,0.003562711053604862,0.9580001823505412,0.9239312718721965,0.9484209432800168,0.9352990011652416
4.75,4.79378602273771,0.7103804978237985,0.0035112178724105254,0.9578868305861056,0.9238916417572273,0.9484432850654383,0.9352969772018249
4.752,4.91925590671814,0.7131876916901347,0.003459253260891904,0.9577740389732076,0.9238512380219585,0.9484641830329832,0.9352937188881171
4.754,5.042846686081884,0.7159518201673619,0.0034068243677307583,0.957661871059109,0.923810126146254,0.9484836842124982,0.9352892829323632
4.756,5.16454177622845,0.7186725426292597,0.0033539383989768324,0.957550390030683,0.9237683713332653,0.9485018354943237,0.9352837258396824
4.758,5.284324852989703,0.7213495255949709,0.003300602616855212,0.9574396586790238,0.9237260384684289,0.9485186835967918,0.9352771038746721
4.76,5.402179854631084,0.7239824427049516,0.0032468243385772623,0.9573297393642932,0.9236831920787458,0.9485342750339669,0.9352694730242812
4.762,5.5180909838095715,0.7265709746946233,0.0031926109351560006,0.9572206939808207,0.9236398962923629,0.9485486560836451,0.9352608889609731
4.764,5.6320427094893795,0.7291148093658542,0.0031379698302259024,0.9571125839224774,0.9235962147984815,0.9485618727556338,0.9352514070061985
4.766,5.7440197688149635,0.7316136415563673,0.0030829084988677775,0.9570054700483454,0.9235522108076124,0.9485739707603222,0.9352410820941949
4.768,5.854007168942314,0.7340671731072059,0.003027434466438667,0.9568994126486979,0.9235079470122005,0.9485849954775685,0.935229968736139
4.77,5.9619901888277225,0.7364751128283407,0.002971555307407563,0.9567944714113147,0.9234634855476435,0.9485949919259105,0.9352181209846653
4.772,6.067954380975041,0.7388371764625586,0.0029152786441968546,0.9566907053881438,0.9234188879537192,0.9486040047321235,0.9352055923987715
4.774,6.171885573141054,0.7411530866477273,0.002858612146030085,0.9565881729623371,0.9233742151364501,0.9486120781011381,0.9351924360091325
4.776,6.2737698699999545,0.7434225728775721,0.002801563527785867,0.9564869318156692,0.9233295273304198,0.9486192557863337,0.9351787042838349
4.778,6.373593654766209,0.7456453714610586,0.0027441405488587084,0.9563870388963651,0.923284884061566,0.9486255810602241,0.9351644490945593
4.78,6.471343590776822,0.7478212254805127,0.00268635101202656,0.9562885503873483,0.9232403441104673,0.948631096685551,0.9351497216832189
4.782,6.567006623032686,0.7499498847485851,0.002628202762325596,0.9561915216749314,0.9231959654761456,0.9486358448867973,0.9351345726290785
4.784,6.6605699796999875,0.7520311057641892,0.0025697036859319983,0.9560960073179626,0.9231518053404022,0.948639867322139,0.9351190518163688
4.786,6.752021173571066,0.7540646516675127,0.0025108617090514192,0.9560020610174476,0.9231079200327068,0.948643205055847,0.9351032084024109
4.788,6.841348003485673,0.756050292194231,0.002451684796815854,0.9559097355866614,0.9230643649956577,0.9486458985311526,0.9350870907862723
4.79,6.92853855571243,0.7579878036290302,0.002392180952188365,0.9558190829217683,0.9230211947510358,0.9486479875435938,0.9350707465779657
4.792,7.013581205291376,0.7598769687585665,0.0023323582148753316,0.9557301539729637,0.9229784628664615,0.9486495112148517,0.9350542225682098
4.794,7.096464617337115,0.7617175768239611,0.002272224660246851,0.9556429987161538,0.9229362219226824,0.9486505079670925,0.9350375646987658
4.796,7.177177748303467,0.763509423472957,0.0022117883982649203,0.9555576661251902,0.9228945234815006,0.9486510154978267,0.9350208180333653
4.798,7.255709847209463,0.7652523107118402,0.00215105757241978,0.9554742041446729,0.9228534180543626,0.9486510707552992,0.9350040267292451
4.8,7.332050456827552,0.7669460468572503,0.00209004035867401,0.9553926596633332,0.9228129550716238,0.9486507099144211,0.9349872340093012
4.802,7.406189414833571,0.7685904464879741,0.002028744964414928,0.9553130784880178,0.9227731828525061,0.9486499683532558,0.9349704821348789
4.804,7.478116854919373,0.7701853303968446,0.001967179627414857,0.9552355053182808,0.9227341485757643,0.9486488806300709,0.9349538123792117
