Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
3.48,0.10331962466952689,1.0012483036014665,0.9979491347326485,1.0041066330974904,1.0061621846840447,1.001027842546261
3.5,0.10319891870254597,1.0014951118615312,0.9980265139657248,1.004151870822331,1.0062171263454154,1.001089062561139
3.52,0.10306959894603182,1.0016369046612101,0.9980584430286328,1.004167116710664,1.0062341128303864,1.001112561541244
3.54,0.10293305446455667,1.0016807532087428,0.9980503967735888,1.0041563254668548,1.0062179361128891,1.00110308752013
3.56,0.10279059503923804,1.001635202567878,0.998008004667686,1.0041234156602732,1.0061734273768486,1.0010654317924774
3.58,0.10264330215945164,1.0015077314555587,0.9979356412391243,1.0040713292007748,1.0061042801846491,1.0010032534997038
3.6,0.10249192372737272,1.0013046387161517,0.9978362417883196,1.0040019044123194,1.0060128906449577,1.0009189242474932
3.62,0.10233696575335016,1.0010313711202536,0.9977116117152582,1.0039161017762517,1.0059006300592566,1.0008137976131197
3.64,0.10217883636674097,1.000693146163953,0.99756296291634,1.0038143903613126,1.0057683140105453,1.0006886734780323
3.66,0.10201746955769461,1.0002921976102732,0.997389166467132,1.0036955985757687,1.0056147461473628,1.00054235319153
3.68,0.1018530993868153,0.9998335100216386,0.9971906261524486,1.0035595534541655,1.0054400007472095,1.000374900250669
3.7,0.10168548841649856,0.9993182542051294,0.996965155032413,1.0034043456369945,1.005241976908663,1.0001842154778466
3.72,0.10151464252881405,0.9987496904282696,0.9967118919757301,1.0032289919015531,1.0050197109080456,0.9999693305514104
3.74,0.10134066271945112,0.9981316244930464,0.9964304236082564,1.0030328747833674,1.0047726568279691,0.9997296923503413
3.76,0.10116362767077268,0.9974671304982912,0.996120077997368,1.0028152967431945,1.0045001110092304,0.9994645903462174
3.78,0.10098398506067018,0.9967623841745559,0.9957824150395198,1.0025771592048154,1.0042033068218148,0.9991752423839415
3.8,0.10080223878590033,0.9960230401181304,0.9954190186382005,1.0023195003129863,1.0038835753818047,0.9988629616909068
3.82,0.10061912873922152,0.9952567850499383,0.995033110056687,1.0020445702045266,1.0035436915709555,0.9985305006521255
3.84,0.100435618454217,0.9944725340058169,0.9946290733695687,1.0017555082355416,1.0031874758368649,0.9981816511741094
3.86,0.10025280587116259,0.9936800898245027,0.9942122179510943,1.0014561712678287,1.0028195848460042,0.9978210386913186
3.88,0.10007186287063066,0.9928898294250736,0.9937885518425682,1.0011509655300523,1.002445310139557,0.9974539227990824
3.9,0.0998941682126242,0.9921137235417892,0.9933653822881712,1.0008452179151193,1.0020710640226442,0.997086678904809
3.92,0.09972091213066338,0.9913621125440618,0.9929492509243791,1.000543792551717,1.001702644895561,0.9967250746348736
3.94,0.099553474130041,0.9906473031692405,0.9925481144381896,1.0002524975129525,1.001347033459828,0.9963760561365324
3.96,0.09939301645366785,0.9899797466947028,0.992168918722015,0.9999764687367445,1.0010103630848197,0.9960457286551242
3.98,0.0992406095970572,0.9893694837981302,0.9918184405916795,0.9997207006792468,1.0006986044648536,0.9957400383702866
4.0,0.09909723025988948,0.9888262194426538,0.9915032811211363,0.9994900217761458,1.0004175473882797,0.9954647542092944
4.02,0.09896357294381236,0.9883571913657437,0.9912285215094835,0.9992882058467055,1.0001716820306856,0.9952243530584512
4.04,0.09884023855524454,0.9879696791234592,0.9909992202197123,0.9991189328608723,0.9999654257936722,0.9950232433007039
4.06,0.09872756369629795,0.9876685027353491,0.9908188636570634,0.9989847806284976,0.9998018459466579,0.9948644897109229
4.08,0.0986257065328959,0.9874576034343439,0.9906903105086826,0.9988878281686426,0.9996834302679481,0.9947505836570439
4.1,0.09853463110102832,0.9873393695450311,0.9906153712060666,0.9988293885536268,0.9996117458408305,0.9946831010240788
4.12,0.09845411706409213,0.9873147093341867,0.9905948494572319,0.9988100377323089,0.9995874746393402,0.9946627375118398
4.14,0.09838374586561864,0.9873830897644533,0.9906285680533315,0.9988296302379073,0.9996104333228685,0.994689329235634
4.16,0.09832301094394987,0.9875432335639422,0.9907157945454808,0.998887593304171,0.9996799379151029,0.9947622136946331
4.18,0.09827118216646154,0.9877919358008974,0.9908545405008808,0.9989824625721689,0.9997942180882643,0.9948796479537075
4.2,0.09822748652444971,0.9881256550758971,0.9910425311594222,0.9991125355312049,0.9999512342224129,0.9950396206805747
4.22,0.09819101095713244,0.9885394731715171,0.9912765965810412,0.999275472767386,1.0001481723840828,0.9952393494909098
4.24,0.09816074370411172,0.989027438619148,0.9915528953745075,0.9994684538499322,1.000381636053212,0.9954754715396315
4.26,0.09813567344356204,0.9895835091818137,0.9918674997571162,0.9996885739774021,1.000648140157668,0.9957445350109497
4.28,0.09811463814471201,0.9901998438659055,0.9922153904049462,0.9999321820475692,1.000943275460685,0.9960421669505756
4.3,0.09809655780490222,0.9908692453371869,0.9925919421285601,1.0001958778933095,1.0012629559371178,0.996364315115815
4.32,0.09808023450717303,0.9915828579941602,0.9929915644578006,1.0004756132470725,1.0016022864344156,0.996706120071129
4.34,0.09806451911090656,0.9923319439778899,0.9934087862890452,1.0007674226746128,1.001956475004326,0.9970628236561402
4.36,0.09804829040998572,0.993107557129419,0.9938380804490734,1.0010673136389912,1.00232069079949,0.9974296272257237
4.38,0.09803042228550155,0.9939001010634434,0.9942736169538146,1.001371108560227,1.0026898619701892,0.9978014902013969
4.4,0.09800989592610096,0.9947006929465728,0.9947100904671095,1.0016750053919072,1.0030593728587949,0.9981738250745984
4.42,0.09798572645395633,0.9954999916470595,0.9951420401331534,1.0019751264294352,1.0034244977213413,0.9985419320331673
4.44,0.09795703232655559,0.9962890874326921,0.9955643875925462,1.002267884152568,1.0037808547310618,0.9989014517277248
4.46,0.09792304597329017,0.9970595272162606,0.9959724596548456,1.0025499998683824,1.004124427455142,0.9992483863330014
4.48,0.09788303318157424,0.9978025863047455,0.9963615473377297,1.0028182118454725,1.0044511966877887,0.9995787336183938
4.5,0.09783632947636393,0.9985096117739711,0.9967271084717073,1.0030694113464949,1.004757310781743,0.999888656308085
4.52,0.09778257649717427,0.9991741934031543,0.9970660743715828,1.0033015152802482,1.0050401813589935,1.0001755713480749
4.54,0.0977215251985062,0.9997904215730079,0.9973757787160656,1.003512749076114,1.0052975838966558,1.0004372559286259
4.56,0.09765312225770903,1.0003537258512374,0.9976544453383074,1.0037019690385414,1.0055280645777898,1.0006722520065425
4.58,0.09757706529795669,1.0008585441129618,0.9978996504652239,1.0038676319710178,1.005729641533445,1.0008785833883613
4.6,0.0974934877289414,1.0013023207048317,0.9981108456611599,1.0040094679799692,1.0059019227869088,1.001055849843768
4.62,0.09740288860084395,1.0016852798950164,0.9982891755965421,1.0041283547042281,1.0060459493603569,1.0012050729184847
4.64,0.0973058673449495,1.0020091281378467,0.9984365943960872,1.004225720056704,1.006163445367114,1.0013279555707355
4.66,0.0972032606594926,1.0022780038713472,0.9985564292165456,1.0043039100151232,1.0062572868216884,1.001427346404248
4.68,0.09709366383305755,1.002475146358196,0.9986392235303142,1.004356705190948,1.0063196157107273,1.0014954198751802
4.7,0.09697845311517006,1.002610432837811,0.9986914793822743,1.0043885512833493,1.0063559567459652,1.0015376592721357
4.72,0.09685838747845431,1.0026884001984318,0.9987162753405795,1.0044015824064694,1.0063689486277063,1.0015566786449517
