Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.948,34.060998520499325,0.38121758212300144,0.4,5.872689827605206e-05,0.996329493742857,0.9899181757443687,0.9985836196735828,0.9942333489387212
5.95,34.063191431650736,0.38132338939316773,0.4,6.309731081579558e-05,0.9963278855534733,0.9899166371616763,0.9985828078205959,0.9942322054810215
5.952,34.065541221713964,0.38143177187543253,0.4,6.744229349381565e-05,0.9963262086585757,0.9899150428014143,0.9985819637693963,0.9942310187807376
5.954,34.06804696446147,0.3815427047730104,0.4,7.176124992332237e-05,0.9963244639211121,0.9899133932624655,0.9985810878521756,0.9942297892938058
5.956,34.070707712301555,0.3816561629684714,0.4,7.605358960411691e-05,0.9963226522077306,0.989911689147145,0.9985801804025926,0.994228517478494
5.958,34.07352249649153,0.38177212102875535,0.4,8.031872799636038e-05,0.9963207743887227,0.9899099310611877,0.9985792417557944,0.9942272037954099
5.96,34.07649032735369,0.3818905532102186,0.4,8.455608659318014e-05,0.9963188313379692,0.9899081196137401,0.9985782722484345,0.9942258487075091
5.962,34.07961019449373,0.3820114334637118,0.4,8.876509299206734e-05,0.9963168239328881,0.9899062554173514,0.9985772722186962,0.9942244526801061
5.964,34.08288106702181,0.38213473543968557,0.4,9.294518096508936e-05,0.9963147530543819,0.9899043390879645,0.9985762420063111,0.9942230161808832
5.966,34.08630189377603,0.38226043249333064,0.4,9.709579052788787e-05,0.9963126195867874,0.9899023712449098,0.9985751819525838,0.9942215396799025
5.968,34.08987160354848,0.3823884976897436,0.4,0.0001012163680074854,0.9963104244178267,0.9899003525108965,0.9985740924004116,0.9942200236496157
5.97,34.09358910531363,0.38251890380911946,0.4,0.00010530636610885649,0.9963081684385577,0.9898982835120074,0.9985729736943086,0.9942184685648767
5.972,34.09745328845911,0.38265162335197384,0.4,0.00010936524398028757,0.9963058525433272,0.9898961648776903,0.9985718261804267,0.9942168749029523
5.974,34.1014630230188,0.38278662854438616,0.4,0.00011339246727749715,0.9963034776297237,0.9898939972407544,0.9985706502065805,0.9942152431435355
5.976,34.10561715990831,0.38292389134327304,0.4,0.00011738750822653955,0.9963010445985321,0.9898917812373629,0.9985694461222687,0.9942135737687565
5.978,34.10991453116258,0.38306338344168184,0.4,0.0001213498456854505,0.9962985543536872,0.9898895175070266,0.9985682142786978,0.9942118672631954
5.98,34.11435395017569,0.3832050762741072,0.4,0.00012527896520465816,0.996296007802231,0.9898872066925996,0.998566955028805,0.994210124113895
5.982,34.1189342119429,0.3833489410218318,0.4,0.00012917435908613324,0.996293405854267,0.9898848494402722,0.9985656687272816,0.9942083448103718
5.984,34.12365409330475,0.38349494861828426,0.4,0.00013303552644130127,0.9962907494229177,0.9898824463995667,0.9985643557305961,0.9942065298446303
5.986,34.12851235319321,0.38364306975442164,0.4,0.00013686197324767711,0.9962880394242817,0.9898799982233293,0.9985630163970162,0.9942046797111731
5.988,34.133507732879856,0.3837932748841264,0.4,0.0001406532124042459,0.99628527677739,0.9898775055677255,0.9985616510866318,0.9942027949070135
5.99,34.138638956226025,0.38394553422962413,0.4,0.00014440876378556485,0.9962824624041656,0.9898749690922329,0.9985602601613781,0.9942008759316873
5.992,34.14390472993491,0.3840998177869181,0.4,0.00014812815429460945,0.9962795972293804,0.9898723894596348,0.9985588439850569,0.9941989232872636
5.994,34.14930374380547,0.38425609533123906,0.4,0.0001518109179143263,0.9962766821806134,0.9898697673360134,0.9985574029233583,0.9941969374783564
5.996,34.15483467098828,0.3844143364225123,0.4,0.00015545659575791617,0.9962737181882093,0.989867103390741,0.9985559373438819,0.9941949190121341
5.998,34.16049616824304,0.3845745104108346,0.4,0.00015906473611782378,0.9962707061852372,0.989864398296473,0.9985544476161582,0.9941928683983299
6.0,34.16628687619795,0.3847365864419702,0.4,0.0001626348945134578,0.9962676471074485,0.9898616527291383,0.9985529341116686,0.9941907861492512
6.002,34.17220541961067,0.3849005334628556,0.4,0.0001661666337376048,0.9962645418932364,0.9898588673679313,0.9985513972038641,0.9941886727797878
6.004,34.178250407631005,0.3850663202271155,0.4,0.00016965952390156,0.9962613914835929,0.9898560428953,0.9985498372681864,0.994186528807421
6.006,34.184420434065174,0.38523391530059226,0.4,0.00017311314247896306,0.9962581968220681,0.9898531799969368,0.9985482546820841,0.9941843547522291
6.008,34.19071407764158,0.38540328706688276,0.4,0.00017652707434832968,0.9962549588547268,0.9898502793617661,0.9985466498250315,0.9941821511368957
6.01,34.19712990227819,0.38557440373288343,0.4,0.00017990091183429997,0.9962516785301079,0.9898473416819314,0.9985450230785462,0.9941799184867144
6.012,34.203666457351275,0.3857472333343447,0.4,0.0001832342547475709,0.9962483567991793,0.9898443676527832,0.9985433748262028,0.9941776573295933
6.014,34.21032227796564,0.38592174374143295,0.4,0.00018652671042353606,0.9962449946152973,0.9898413579728631,0.9985417054536506,0.9941753681960592
6.016,34.21709588522612,0.3860979026642941,0.4,0.00018977789375961267,0.9962415929341607,0.9898383133438892,0.9985400153486261,0.9941730516192611
6.018,34.22398578651058,0.3862756776586283,0.4,0.00019298742725127924,0.9962381527137678,0.9898352344707391,0.9985383049009674,0.9941707081349694
6.02,34.23099047574398,0.38645503613126453,0.4,0.00019615494102679247,0.9962346749143716,0.9898321220614332,0.9985365745026259,0.99416833828158
6.022,34.23810843367378,0.3866359453457395,0.4,0.00019928007288060693,0.9962311604984339,0.9898289768271139,0.9985348245476773,0.9941659426001107
6.024,34.24533812814653,0.3868183724278793,0.4,0.00020236246830547945,0.9962276104305788,0.9898257994820271,0.9985330554323327,0.9941635216342011
6.026,34.25267801438555,0.38700228437138223,0.4,0.00020540178052328006,0.9962240256775476,0.9898225907435002,0.9985312675549465,0.9941610759301087
6.028,34.26012653526972,0.3871876480434024,0.4,0.0002083976705144821,0.9962204072081485,0.9898193513319193,0.998529461316025,0.9941586060367056
6.03,34.26768212161329,0.3873744301901319,0.4,0.0002113498070463531,0.99621675599321,0.9898160819707046,0.9985276371182324,0.9941561125054716
6.032,34.2753431924467,0.3875625974423848,0.4,0.0002142578666998312,0.9962130730055302,0.9898127833862859,0.9985257953663971,0.9941535958904882
6.034,34.283108155298336,0.38775211632117446,0.4,0.00021712153389510803,0.9962093592198275,0.9898094563080738,0.9985239364675146,0.9941510567484296
6.036,34.29097540647718,0.38794295324329153,0.4,0.0002199405009158929,0.9962056156126874,0.9898061014684326,0.9985220608307508,0.9941484956385527
6.038,34.298943331356334,0.388135074526877,0.4,0.0002227144679323803,0.996201843162512,0.9898027196026502,0.998520168867444,0.9941459131226867
6.04,34.30701030465728,0.3883284463969908,0.4,0.00022544314302290602,0.9961980428494643,0.9897993114489043,0.9985182609911039,0.9941433097652183
6.042,34.31517469073501,0.3885230349911738,0.4,0.00022812624219431334,0.9961942156554152,0.9897958777482312,0.9985163376174105,0.9941406861330787
6.044,34.323434843863744,0.388718806365004,0.4,0.00023076348940100622,0.996190362563886,0.9897924192444895,0.9985143991642117,0.9941380427957273
6.046,34.33178910852338,0.3889157264976473,0.4,0.00023335461656271084,0.9961864845599918,0.9897889366843238,0.9985124460515183,0.9941353803251329
6.048,34.34023581968655,0.3891137612973965,0.4,0.00023589936358093278,0.9961825826303835,0.9897854308171259,0.9985104787014986,0.9941326992957555
6.05,34.348773303106256,0.3893128766072048,0.4,0.00023839747835413059,0.9961786577631867,0.9897819023949943,0.9985084975384704,0.9941300002845244
6.052,34.357399875604,0.38951303821020766,0.4,0.0002408487167915855,0.9961747109479414,0.989778352172693,0.9985065029888928,0.9941272838708153
6.054,34.36611384535839,0.38971421183523436,0.4,0.00024325284282598737,0.996170743175539,0.989774780907606,0.9985044954813553,0.9941245506364265
6.056,34.37491351219421,0.38991636316230893,0.4,0.00024560962842472674,0.9961667554381586,0.9897711893596923,0.9985024754465652,0.9941218011655509
