Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.422,35.25696746429199,0.4064965619518284,0.4,4.513902537065632e-06,0.9969279562907876,0.9901172614118121,0.9987606715107232,0.9944281364997144
7.424,35.25710264956134,0.4064866791123686,0.4,2.9967986669127825e-06,0.9969308175439681,0.9901190375656551,0.9987618395538017,0.9944296061118505
7.426,35.25718326458296,0.4064758147698166,0.4,1.4822602879119701e-06,0.9969337097462225,0.9901208390435566,0.9987630229800304,0.9944310958446687
7.428,35.25720940583151,0.40646397353747626,0.4,-2.948406305651636e-08,0.996936632666649,0.9901226656732575,0.9987642216809618,0.9944326055588285
7.43,35.257181177988954,0.406451160166224,0.4,-1.5382069643889486e-06,0.9969395860695096,0.9901245172784866,0.998765435545631,0.9944341351117505
7.432,35.25709869390393,0.40643737954337783,0.4,-3.0436821416652593e-06,0.9969425697142847,0.9901263936790048,0.9987666644605832,0.9944356843576522
7.434,35.25696207454979,0.40642263669154544,0.4,-4.545684499282697e-06,0.9969455833557287,0.9901282946906493,0.9987679083099035,0.994437253147585
7.436,35.25677144898167,0.406406936767458,0.4,-6.04399015182225e-06,0.9969486267439234,0.9901302201253778,0.9987691669752453,0.9944388413294698
7.438,35.25652695429231,0.40639028506078545,0.4,-7.538376455130763e-06,0.9969516996243349,0.9901321697913141,0.9987704403358606,0.9944404487481354
7.44,35.25622873556684,0.4063726869929341,0.4,-9.0286220371255e-06,0.9969548017378713,0.9901341434927949,0.9987717282686306,0.9944420752453565
7.442,35.25587694583645,0.4063541481158287,0.4,-1.0514506828308988e-05,0.996957932820939,0.9901361410304168,0.9987730306480952,0.9944437206598927
7.444,35.255471746030885,0.4063346741106778,0.4,-1.199581209200101e-05,0.9969610926055027,0.9901381622010827,0.998774347346485,0.9944453848275269
7.446,35.255013304930024,0.4063142707867213,0.4,-1.3472320454270823e-05,0.9969642808191442,0.9901402067980524,0.9987756782337536,0.9944470675811063
7.448,35.25450179911419,0.40629294407996425,0.4,-1.4943815933576174e-05,0.9969674971851223,0.9901422746109896,0.9987770231776085,0.9944487687505825
7.45,35.25393741291356,0.40627070005189364,0.4,-1.6410083970097816e-05,0.996970741422435,0.9901443654260127,0.9987783820435441,0.9944504881630516
7.452,35.253320338356424,0.4062475448881781,0.4,-1.787091145477596e-05,0.9969740132458799,0.9901464790257452,0.9987797546948752,0.9944522256427976
7.454,35.252650775116486,0.4062234848973555,0.4,-1.932608675803248e-05,0.9969773123661176,0.9901486151893656,0.9987811409927697,0.9944539810113323
7.456,35.251928930459016,0.4061985265095025,0.4,-2.0775399758185366e-05,0.9969806384897348,0.9901507736926601,0.9987825407962823,0.9944557540874392
7.458,35.251155019186115,0.4061726762748909,0.4,-2.221864186954432e-05,0.996983991319308,0.9901529543080744,0.9987839539623895,0.9944575446872167
7.46,35.25032926358091,0.4061459408626281,0.4,-2.3655606070194526e-05,0.9969873705534686,0.9901551568047665,0.9987853803460236,0.9944593526241203
7.462,35.249451893350766,0.4061183270592848,0.4,-2.5086086929451854e-05,0.9969907758869673,0.9901573809486592,0.9987868198001074,0.9944611777090082
7.464,35.24852314556947,0.40608984176750623,0.4,-2.6509880634997433e-05,0.9969942070107415,0.9901596265024957,0.9987882721755903,0.9944630197501844
7.466,35.24754326461856,0.4060604920046114,0.4,-2.792678501967942e-05,0.9969976636119804,0.9901618932258917,0.998789737321483,0.994464878553444
7.468,35.24651250212754,0.4060302849011788,0.4,-2.933659958798998e-05,0.9970011453741933,0.9901641808753923,0.9987912150848942,0.9944667539221194
7.47,35.2454311169133,0.4059992276996164,0.4,-3.0739125542201246e-05,0.9970046519772775,0.9901664892045262,0.9987927053110665,0.9944686456571243
7.472,35.2442993749185,0.4059673277527206,0.4,-3.213416580816714e-05,0.9970081830975861,0.9901688179638624,0.9987942078434133,0.9944705535570013
7.474,35.243117549149034,0.4059345925222219,0.4,-3.3521525060780776e-05,0.9970117384079966,0.9901711669010649,0.9987957225235556,0.9944724774179676
7.476,35.24188591961068,0.4059010295773177,0.4,-3.490100974909441e-05,0.9970153175779823,0.990173535760952,0.998797249191359,0.9944744170339619
7.478,35.24060477324472,0.4058666465931912,0.4,-3.627242812108664e-05,0.9970189202736799,0.9901759242855511,0.9987987876849718,0.9944763721966919
7.48,35.239274403862744,0.4058314513495213,0.4,-3.76355902480835e-05,0.9970225461579624,0.9901783322141579,0.9988003378408616,0.9944783426956815
7.482,35.23789511208063,0.4057954517289779,0.4,-3.8990308048824125e-05,0.9970261948905087,0.9901807592833937,0.9988018994938551,0.9944803283183196
