Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
9.462,3.38816749025257,0.45836784566184285,0.39483100102801466,-0.0005748487724987273,0.39483100102801466,1.0157929260006107,0.9551071149084283,0.9644105927486856,0.9582727500285496
9.464,3.3672150258310247,0.45798185178979944,0.39480777782836435,-0.0005891631053792763,0.39480777782836435,1.0157790167172616,0.955086403398997,0.9643878413837333,0.9582498216943894
9.466,3.3457487600766243,0.45758781143953015,0.3947845503792872,-0.0006033929883363949,0.3947845503792872,1.0157649378579736,0.9550653237887223,0.9643646542941796,0.9582264660516813
9.468,3.3237717657968813,0.45718578273305865,0.394761320793094,-0.0006175366118299902,0.394761320793094,1.015750690339573,0.9550438777010127,0.9643410336239195,0.958202685124273
9.47,3.3012871807098385,0.45677582483936746,0.3947380911556627,-0.0006315921793030788,0.3947380911556627,1.015736275085584,0.9550220667877879,0.9643169815569314,0.9581784809730952
9.472,3.278298206972277,0.45635799796430093,0.3947148635267088,-0.0006455579074228306,0.3947148635267088,1.0157216930266917,0.9549998927299786,0.9642925003175704,0.9581538556965545
9.474,3.2548081106992792,0.4559323633403148,0.39469163994005435,-0.0006594320263192218,0.39469163994005435,1.0157069451012113,0.9549773572380307,0.964267592170862,0.958128811430926
9.476,3.2308202214754345,0.4554989832160705,0.39466842240389394,-0.000673212779821154,0.39466842240389394,1.0156920322555614,0.9549544620524113,0.9642422594227962,0.9581033503507496
9.478,3.206337931857402,0.4550579208458794,0.39464521290106025,-0.0006868984256902276,0.39464521290106025,1.015676955444745,0.9549312089441208,0.9642165044206233,0.9580774746692289
9.48,3.181364696868096,0.45460924047899093,0.3946220133892859,-0.0007004872358520221,0.3946220133892859,1.0156617156328305,0.9549075997152037,0.9641903295531481,0.958051186638628
9.482,3.155904033482814,0.45415300734874303,0.39459882580146394,-0.0007139774966247328,0.39459882580146394,1.015646313793441,0.9548836361992645,0.964163737251024,0.9580244885506711
9.484,3.1299595201068424,0.45368928766156014,0.39457565204590617,-0.0007273675089454317,0.39457565204590617,1.015630750910245,0.9548593202619842,0.964136729987047,0.957997382736942
9.486,3.103534796045306,0.45321814858581533,0.3945524940065999,-0.0007406555885935603,0.3945524940065999,1.0156150279774498,0.9548346538016357,0.9641093102764473,0.9579698715692815
9.488,3.0766335609647886,0.45273965824054824,0.39452935354346164,-0.0007538400664119232,0.39452935354346164,1.0155991460002969,0.9548096387496022,0.9640814806771792,0.9579419574601855
9.49,3.049259574347042,0.45225388568404906,0.3945062324925905,-0.0007669192885250316,0.3945062324925905,1.0155831059955625,0.9547842770708945,0.9640532437902097,0.9579136428632008
9.492,3.0214166549351,0.45176090090231125,0.39448313266651625,-0.0007798916165546603,0.39448313266651625,1.0155669089920554,0.9547585707646667,0.9640246022598038,0.9578849302733198
9.494,2.993108680171462,0.4512607747973473,0.39446005585445026,-0.0007927554278328034,0.39446005585445026,1.0155505560311187,0.9547325218647312,0.9639955587738064,0.957855822227371
9.496,2.9643395856286627,0.45075357917538006,0.39443700382252955,-0.0008055091156118896,0.39443700382252955,1.0155340481671304,0.9547061324400721,0.9639661160639219,0.957826321304409
9.498,2.9351133644325658,0.4502393867349101,0.3944139783140624,-0.0008181510892721186,0.3944139783140624,1.0155173864680072,0.9546794045953563,0.9639362769059896,0.9577964301260988
9.5,2.905434066677871,0.44971827105465395,0.39439098104976933,-0.0008306797745261742,0.39439098104976933,1.015500572015701,0.9546523404714405,0.9639060441202535,0.9577661513570984
9.502,2.875305798836683,0.4491903065813701,0.39436801372802455,-0.0008430936136209486,0.39436801372802455,1.0154836059067038,0.9546249422458762,0.9638754205716296,0.9577354877054343
9.504,2.844732723159618,0.4486555686175631,0.39434507802509344,-0.0008553910655365333,0.39434507802509344,1.015466489252542,0.9545972121334094,0.963844409169966,0.9577044419228743
9.506,2.8137190570697808,0.44811413330907374,0.3943221755953687,-0.000867570606182336,0.3943221755953687,1.0154492231802772,0.9545691523864777,0.9638130128703,0.9576730168052959
9.508,2.7822690725500183,0.44756607763256057,0.39429930807160546,-0.0008796307285901933,0.39429930807160546,1.0154318088329968,0.9545407652956985,0.9637812346731058,0.957641215193045
9.51,2.750387095522859,0.4470114793828694,0.39427647706515306,-0.000891569943104725,0.39427647706515306,1.0154142473703076,0.9545120531903569,0.9637490776245401,0.9576090399712914
9.512,2.7180775052240636,0.4464504171603013,0.39425368416618556,-0.000903386777570582,0.39425368416618556,1.0153965399688243,0.9544830184388824,0.9637165448166772,0.957576494070378
9.51394368448667,2.6862664149884075,0.4458989473890074,0.39423157159721084,-0.0009147505288696783,0.39423157159721084,1.0153791906822363,0.9544544904564286,0.9636845663305215,0.9575445076727416
9.51394368448667,2.6862664149884075,0.44589894738874297,0.39423157159720035,-0.0009147505288696783,0.39423157159720035,1.0153791906822278,0.9544544904564147,0.9636845663305059,0.9575445076727259
9.513943687634384,2.686266363150418,0.44589894649105977,0.39423157156143074,-0.0009147505471773258,0.39423157156143074,1.015379190654029,0.9544544904099838,0.9636845662784488,0.9575445076206597
9.513943687634384,2.686266363150418,0.44589894649082057,0.39423157156142136,-0.0009147505471773258,0.39423157156142136,1.0153791906540215,0.9544544904099713,0.963684566278435,0.9575445076206459
9.514,2.6853389853392864,0.4458828827517897,0.3942309314752162,-0.0009150780696348804,0.3942309314752162,1.0153786860376925,0.954453659527791,0.9636836347194283,0.9575435758973256
